2019-09-04 21:51:28.144 | INFO     | __main__:Main:259 - File not yet found C:\Users\Conrad/Downloads/download.csv. sleeping 10 seconds...
2019-09-04 21:51:38.161 | INFO     | __main__:Main:253 - ...checking download directory...
2019-09-04 21:51:38.161 | DEBUG    | __main__:getFileList:241 - 090258_Checking_Transactions_20190107-195212.csv
2019-09-04 21:51:38.161 | DEBUG    | __main__:getFileList:241 - Coinbase-533abce993be6498e5000366-TaxTransactionsReport-2019-03-11-22_21_35.csv
2019-09-04 21:51:38.161 | DEBUG    | __main__:getFileList:241 - Coinbase-BATWallet-TaxReport-2019-03-11-22_19_59.csv
2019-09-04 21:51:38.161 | DEBUG    | __main__:getFileList:241 - Coinbase-BCHWallet-TaxReport-2019-03-11-22_19_59.csv
2019-09-04 21:51:38.161 | DEBUG    | __main__:getFileList:241 - Coinbase-BitcoinWallet-TaxReport-2019-03-11-22_20_00.csv
2019-09-04 21:51:38.161 | DEBUG    | __main__:getFileList:241 - Coinbase-BSVWallet-TaxReport-2019-03-11-22_19_59.csv
2019-09-04 21:51:38.161 | DEBUG    | __main__:getFileList:241 - Coinbase-Conrad'sVault-TaxReport-2019-03-11-22_19_59.csv
2019-09-04 21:51:38.161 | DEBUG    | __main__:getFileList:241 - Coinbase-ETCWallet-TaxReport-2019-03-11-22_19_59.csv
2019-09-04 21:51:38.161 | DEBUG    | __main__:getFileList:241 - Coinbase-Ethericwallet-TaxReport-2019-03-11-22_19_59.csv
2019-09-04 21:51:38.161 | DEBUG    | __main__:getFileList:241 - Coinbase-ETHWallet-TaxReport-2019-03-11-22_20_00.csv
2019-09-04 21:51:38.161 | DEBUG    | __main__:getFileList:241 - Coinbase-LTCWallet-TaxReport-2019-03-11-22_20_00.csv
2019-09-04 21:51:38.161 | DEBUG    | __main__:getFileList:241 - Coinbase-USDCWallet-TaxReport-2019-03-11-22_19_59.csv
2019-09-04 21:51:38.161 | DEBUG    | __main__:getFileList:241 - Coinbase-XRPWallet-TaxReport-2019-03-11-22_19_59.csv
